Undergraduate Major,Early Career Pay,Mid-Career Pay
Industrial & Labor Relations,69800,100600
Real Estate,59900,100600
Mechanical Engineering Technology (MET),64200,100400
Labor Relations,53000,100300
Electronics,57500,100200
Biochemistry (BCH),50400,99900
Politics,53000,99900
Accounting & Auditing,57800,99800
Chinese Language,54200,99600
Information Science (IS),66300,99500
East Asian Studies,49800,99400
Accounting & Finance,59200,99300
Network Security,62300,99300
Information Technology (IT),59100,99200
Aviation Management,50900,99100
Occupational Health and Safety,59900,99100
Agribusiness,50700,98900
Business & Marketing,51000,98900
Computer Engineering Technology (CET),63000,98900
Computer Security,68100,98700
Operations & Supply Chain Management,61300,98600
Entomology,45900,98500
Music Production & Engineering,43100,98400
Industrial Engineering Technology,67200,98400
Logistics & Supply Chain Management,59000,98300
Supply Chain Management,61700,98300
Accounts,59800,98300
Economics & Management,54400,98200
Environmental Policy Analysis & Planning,51000,98200
Physical Therapy,55500,98200
European History,52300,98000
Robotics & Automation,66100,98000
Geological Engineering,61700,97900
Manufacturing Technology,59900,97900
Chemistry,51600,97500
Business Logistics & Transportation,56400,97400
Food Science & Technology,53100,97300
City & Regional Planning,51800,97200
Civil Engineering Technology (CET),58300,97200
Electronics Engineering Technology (EET),64300,97100
English & Psychology,42600,97100
Finance & Banking,55300,97100
Mechanical Design,60900,97100
Applied Technology,55500,97000
Marketing & Management,50000,96900
Technical & Scientific Communication,50700,96800
Financial Planning,54000,96600
Organizational Behavior,57000,96600
Marketing,51700,96600
Dairy Science,51200,96200
Project Management,56800,96200
Government & International Politics (GVIP),51300,96100
Latin American Studies,46700,96100
Industrial Design (ID),55100,95900
Web Design & Development,53100,95900
Computing & Information Systems (CIS),58100,95800
Electromechanical Engineering,70500,95800
Industrial Technology (IT),62200,95800
Information Technology (IT) & Systems,61100,95800
Biopsychology,53300,95700
Government & Politics,52400,95700
Microbiology & Immunology,54900,95400
Chemistry & Environmental Science,48200,95400
Interactive Media Design,54000,95300
Risk Management,58500,95300
Cell Biology,50100,95200
Aeronautics,62800,95100
Welding Engineering Technology,74700,95000
Finance & Management Information Systems,63900,94800
Computer Science (CS) & Business,81100,94600
Environmental Science & Policy,49500,94500
Marketing & Communications,49600,94500
Safety Management,60100,94500
Business Technology Management,57400,94400
Computer Networking Systems,55600,94400
Biomedical Sciences,43600,94300
Philosophy,52600,94300
Sales & Marketing,52700,94300
Manufacturing Engineering Technology,66000,94300
Environmental Health & Safety,57600,94200
Organizational Psychology,51200,94100
Industrial Psychology,50000,94000
Political Science,50700,94000
Real Estate Development,57100,94000
Social Ecology,49000,93700
Risk Management & Insurance,59500,93600
Radiation Therapy,68400,93400
French Literature,46400,93300
Occupational Therapy (OT),54100,93300
Advertising,47200,93200
Accounting,54800,93100
Geology,50400,93000
Strategic Communication,47100,93000
Transportation & Logistics Management,57600,93000
Financial Accounting,56100,92900
Cell & Molecular Biology,51900,92800
Industrial Safety,55200,92800
Insurance,56000,92800
Manufacturing Management,64000,92800
Networks & Telecommunications,54300,92800
Labor Studies,46600,92600
Digital Media Design,46700,92600
Advertising & Marketing Communications,48300,92600
Cinema Studies,47900,92500
Electronic & Computer Technology,63800,92500
Marketing Communication,45700,92500
Construction Technology,59100,92400
Architecture,51000,92300
Applied Statistics,65900,92200
Biological Sciences,49300,92100
Food Science,52500,92100
Urban & Regional Planning,51800,92100
Marketing Management,51300,92000
Computer & Network Administration,56800,91900
Applied Computer Science,66100,91800
Sales,61500,91600
Environmental Design,47700,91400
Hotel Management,49100,91400
Advertising Design,52700,91300
Digital Arts,45600,91300
Financial Management,54300,91300
Electronic Systems Technology (EST),81000,91200
Italian Language,51400,91100
German Studies,50000,91000
Quality Management,57400,90800
Microbiology,48400,90300
Entrepreneurship,54800,90300
Interactive Media,52700,90200
Global Business Management,55900,90200
Network Systems Administration,57900,90200
Police Science,55400,90200
Hydrology,48700,90100
Business Data Analysis,64700,90000
Database Management,65900,90000
Spanish Literature,51100,90000
Business Technology,52800,89900
Business Management & Marketing,48900,89800
Technical Management,64400,89700
Human Biology,51100,89600
Meteorology,46200,89500
Computer Graphics Technology (CGT),49000,89200
Urban Planning,50500,89200
Aviation Technology,58100,89100
Environmental Health,50000,89100
Agricultural Science,48900,88900
Agronomy,50200,88900
International Studies,50000,88900
Design,52800,88800
Applied Science,46400,88700
Architectural Engineering Technology,52200,88700
German Language,50700,88700
Technology,56200,88600
Advertising & Promotion,46100,88500
Pre-law,46800,88400
Digital Media,47300,88200
Biological Anthropology,46200,88100
Personal Financial Planning,53800,88100
Professional Pilot Education,63700,88000
Textile Technology,54000,88000
Web & Digital Media Development,52300,88000
Entrepreneurial Studies,48700,87900
Fashion Design,47500,87700
Retailing,51300,87600
Business Communication,50900,87300
Environmental Science,49100,87300
Product Design Engineering,65500,87200
English Literature,47700,87000
Logistics,57600,87000
Math & Science,55600,86900
International Trade & Business,54800,86800
Pre-Medicine,50800,86800
Speech & Drama,37500,86800
Toxicology,44600,86800
Advertising & Marketing,49000,86700
Geographic Information Systems (GIS) & Spatial Analysis,54000,86700
Marketing & Mass Communications,45400,86700
Welding Technology,48400,86700
General Business,50200,86600
Construction Engineering Technology,55800,86400
Architectural Studies,45400,86400
Aviation Maintenance Technology,51000,86300
Communication Studies & Journalism,44800,86200
Management,51600,86200
General Science,49100,86100
Magazine Journalism,46800,86100
Electronics & Computer Technology,55600,86000
Theatre & Drama Studies,44800,86000
Animation,45000,85900
Biology & Chemistry,49200,85900
Diagnostic Medical Ultrasound,67700,85900
History & Politics,49500,85900
Public Affairs,52700,85900
Romance Languages,53000,85900
Physiology,49300,85900
Corporate Communications,48500,85700
International Affairs,51600,85700
Nursing Science,66800,85700
Organizational Development,53800,85700
Textile & Apparel Studies,47100,85700
Business Administration,52800,85600
Business Administration & Accounting,52400,85600
Philosophy & Religion,43800,85600
Architectural Design,47700,85400
Textile Design,50000,85200
Interpersonal & Organizational Communication,42400,85200
Geographic Information Systems (GIS),50000,85100
Business Management,51700,85000
Linguistics,52100,84900
French Language,49600,84800
Communication,48000,84700
Neuroscience,51800,84700
Business Management & Human Resources Management (HRM),46800,84600
Journalism & Mass Communication,46300,84600
Accounting & Management,55500,84500
Sociology & Organizational Studies,53500,84300
Crop Science,48700,84200
French Studies,52400,84200
Writing,44200,84200
Nursing,65000,84200
History,47800,84100
Biology,47100,84000
Land Surveying,51900,84000
Architectural Technology,46700,83900
Health Care,44400,83900
Integrated Marketing Communications,47000,83900
Agriculture,47700,83800
Digital Design,50000,83600
Marketing & Advertising,49300,83600
Organizational Communication,46400,83600
Visual Effects & Motion Graphics,48100,83400
Public Relations & Communication,45700,83300
General & Strategic Management,51200,83300
Foreign Languages,48400,83100
Retail Merchandising,50900,83100
Agribusiness Management,47700,83000
Global Business,55800,83000
Professional & Technical Writing,48500,83000
Computer Art,40400,82900
Environmental Management,50200,82900
Environmental Studies,48500,82900
Journalism,45900,82900
Travel Industry Management,52600,82900
International Development Studies,47700,82800
Natural Sciences,45100,82800
Retail & Consumer Science,51800,82800
Literature,46800,82800
Bachelor in Science Nursing,64000,82700
History & Political Science,50600,82700
Museum Studies,38900,82700
Computer Information Management,49400,82600
Dental Hygiene,72700,82600
Law,54300,82600
Network Technology,59800,82600
Media Studies,50700,82400
Environmental Geography,50200,82300
Law Enforcement,46700,82200
Nuclear Medicine,60300,81900
Bachelor of Science in Nursing,63800,81900
Computer Animation,46800,81800
Landscape Architecture,51500,81800
Publishing,46300,81800
Interior Architecture,47600,81500
Diagnostic Medical Sonography,64300,81400
Environmental & Natural Resource Economics,52400,81400
Public Relations (PR),45600,81400
Workforce Education & Development,59900,81400
American History (United States),50900,81300
Drama,47400,81100
Management (MGT),47000,81000
Merchandising Management,46800,80900
Environmental Biology,45000,80800
Accounting & Business,52400,80700
Automotive Technology & Service Management,48800,80500
Speech Communication,46700,80500
Allied Health,44800,80400
Agricultural Systems Technology,60500,80300
Emergency Management,50900,80300
Network Administration,48700,80300
Communication Management,46000,80200
Historic Preservation,43400,80000
Broadcast Journalism,42900,79900
Broadcast & Cinematic Arts,42800,79900
Automotive Technology,48100,79800
Business Management & Administration,51400,79800
Agricultural Business,52700,79700
Technology Management,56400,79700
Global Studies,51200,79600
Professional Studies,42800,79600
Interpersonal Communications,45000,79500
Forestry,45900,79400
Homeland Security,49200,79400
Ancient History,46000,79300
Botany,42600,79300
Geography,49700,79300
Computer Aided Design (CAD),48700,79200
Nutrition Science,49500,79200
Acting,44200,79100
Public Management,50200,79100
Nuclear Medicine Technology,61700,79000
Apparel & Textile Manufacture,48300,78900
English Language & Literature,46400,78900
Urban Studies,51500,78900
Mass Communication,44800,78800
Forestry Management,48600,78700
Radio/Television & Film Production,45700,78700
Hospital Management,53200,78600
Human Resources Management (HRM),47900,78500
Marine Science,46100,78400
American Sign Language Interpreting,43100,78300
English & History,45700,78300
English Language,44600,78300
Cytotechnology,61900,78200
Geosciences,48700,78200
Hospital Administration,51200,78200
Film Production,44600,78100
Marine Biology,43300,78100
Zoology,42100,77900
Communication Design,51700,77800
Leadership,47200,77500
Music Technology,44800,77500
Musicology,40000,77500
Technical Writing,53300,77500
Agricultural Communication,44600,77400
Logistics Management,56300,77400
German Language & Literature,49400,77300
Administration,44600,77100
Apparel Merchandising,47600,77100
Computer Aided Drafting & Design (CADD),49100,77100
Organizational Leadership & Supervision,49600,77100
Printing Technology,46200,77100
Spanish Language,47700,77100
Multimedia,44700,77000
Spanish Language Teacher Education,45500,76900
Public Administration,46700,76900
Human Nutrition,48600,76900
Audio Engineering,48300,76800
Graphics Technology & Management,39500,76800
Physical Anthropology,52900,76800
Organizational Leadership,50500,76700
Environmental Health Science,53800,76600
Health Sciences,44600,76600
Journalism & Electronic Media,45200,76500
Religious Studies,43900,76300
Art History,46600,76200
Radiologic Science,57600,76200
3D Animation,51800,76000
Culture Studies,48100,75900
Merchandising,53100,75900
Administrative Management,52700,75800
Human Resources (HR),47300,75800
Liberal Arts,44500,75800
Adult Education & Training,48700,75600
Fashion Merchandising,46900,75600
Health & Fitness,39800,75600
Natural Resources,47400,75500
Organizational Management,48800,75500
Modern Languages,50300,75400
Natural Resource Management,46500,75400
Retail Management,50100,75400
Sociology & Anthropology,44500,75400
Creative Writing,45300,75200
Criminal Justice Administration,45700,75100
Ethnic Studies,47500,74900
Philosophy & Religious Studies,49300,74900
Radiology,54800,74900
Medical Laboratory Technology,56900,74400
Sports Management,45400,74400
Anthropology & English,48000,74300
Broadcast Communication,40000,74300
Criminology,44700,74300
Earth Science,50000,74300
Media & Technology,45200,74300
Visual Communications,45400,74300
Advertising & Graphic Design,46800,74200
Applied Behavior Analysis,38700,74200
Psychology,44700,74200
Applied Management,45500,74100
Hotel & Restaurant Management,47300,74100
Anthropology,46400,73900
Arts Management,39400,73800
Diagnostic Medical Imaging,60600,73800
Communication Arts,42400,73600
Middle Eastern Studies,57100,73600
Radiologic Technology,55200,73600
Painting & Printmaking,34700,73600
Cardiopulmonary Science,48900,73400
Human Relations,45000,73400
Humanities,48500,73200
Health Care Administration,45800,73100
Health Care Management,46700,73000
Life Sciences,53100,73000
Ecology,46400,72900
Media Arts,46500,72900
Respiratory Care,54800,72800
Art & Design,45100,72700
Health Information Management,49000,72700
Hospitality Management,46400,72700
Health Teacher Education,37900,72600
Sports Medicine,50100,72600
Multimedia & Web Design,50200,72600
Sociology,46200,72500
Liberal Studies,44300,72400
Interior Design,45100,72300
Medical Laboratory Science,55600,72300
Secondary Education,44600,72300
Child Psychology,38900,72200
Exercise Physiology,44100,72200
Radiography,55300,72200
Archaeology,45900,72100
Art Administration,40200,72100
Hotel & Restaurant Tourism,44300,72100
Illustration,45200,72100
Arts & Science,45700,71900
Health,44200,71900
Turfgrass Management,53100,71900
Animal Science & Management,44200,71800
SocialStudies,45800,71700
Human Resources Development,48600,71600
Speech Pathology & Audiology,44100,71600
Clinical Laboratory Science,55100,71500
Forensic Science,46000,71500
Health Administration,42700,71500
Geomatics,52300,71400
Media Communication,47000,71400
Health Management,45100,71300
Commercial Photography,43800,71300
Fashion Design & Marketing,45300,71100
Mass Media,40300,71100
Medical Technology,56500,71000
Respiratory Therapy,54500,70900
Theater,44600,70700
Forensic Psychology,43000,70600
Kinesiology,44800,70600
Performing Arts,45700,70500
Psychology & Social Behavior,45800,70500
Religion,44400,70500
Radio & Television,43100,70500
Technology Teacher Education,47700,70400
Educational Studies (ED),40300,70200
Music,44300,70200
Business Leadership,50100,70200
Drafting & Design,51000,70100
Plant Sciences,48000,70100
Criminal Justice,42800,69800
Web Design,49900,69800
Graphic Design,45100,69700
Nutrition,48100,69600
Nutrition & Dietetics,50800,69600
Missions,41300,69500
Dramatic Art,41400,69400
Fashion Marketing & Management,47700,69100
Interdisciplinary Studies (IS),44600,68900
Hospitality & Tourism,44200,68800
Human Ecology,42100,68800
Ornamental Horticulture,46000,68800
Physical Therapist Assistant Studies,49900,68800
Public Health (PH),46000,68800
Art Therapy,41100,68600
Dietetics,51300,68600
Landscape Management,52300,68600
Applied Sociology,42200,68500
Fine Arts,43200,68500
Modern Language Spanish,43800,68500
Women's Studies,45200,68500
Social & Criminal Justice,44800,68500
Animal Science,41200,68300
New Media,46000,68300
Textiles & Clothing,45100,68300
Event Management,41700,68200
Family & Consumer Science,42600,68000
Speech-Language Pathology,44100,67900
Technical Theatre,41000,67600
Education,44100,67500
Foods & Nutrition,47000,67500
Recreation Management,42300,67500
Business & Healthcare Management,46900,67300
Agricultural Teacher Education,53500,67100
Music Composition,44000,66900
Art,43400,66700
Psychology & Sociology,42800,66700
Drawing & Painting,42800,66600
Nonprofit Management,42300,66300
Small Business Management,47100,66200
Behavioral Science,43000,66000
Horticulture & Agronomy,52500,65900
Health Services Administration,42700,65800
Multidisciplinary Studies,41800,65800
Restaurant & Food Service Management,43900,65800
Consumer Affairs,51000,65700
Training and Development,52600,65600
Health & Exercise Science,41700,65600
Electronic Media,45300,65600
Environmental Resource Management,48700,65500
Theatre Arts,43500,65300
Applied Linguistics,46800,65200
African American & African Studies,46400,65100
Exercise & Sports Science,42600,65100
General Studies,43600,65100
Justice Studies,45300,65100
Video Production,42800,65100
Graphic Arts,42700,64900
Physical Education Teaching,42200,64900
Health Services Management,41600,64800
Physical Education & Exercise Science,44100,64800
Drawing,37400,64800
Exercise Science,41400,64700
Printmaking,38400,64300
Sports Administration,43300,64300
Theology,42800,64300
Interior Design & Merchandising,43700,64200
Recreation & Leisure Studies,40300,64200
Human Development,43700,64100
Music Industry,45800,64100
Wildlife Management,39700,64100
Supervision & Management,41700,64100
Health & Wellness,40100,64000
Culinary Arts & Food Service Management,41300,64000
Mortuary Science,43500,64000
Clinical Psychology,43000,63900
Community Health Education,42600,63900
Dance,45100,63900
Speech Pathology,42800,63700
Gender Studies,45500,63600
Secondary English Teacher Education,42000,63600
Photography,43800,63500
English Teacher Education,43300,63100
Paralegal Studies,39600,63100
Social Studies Teacher Education,43400,63100
Teaching English as a Second Language (ESL),42800,63000
Music Teacher Education,42000,63000
Health Promotion,42300,62800
Recording Arts,44800,62800
Photojournalism,41900,62600
Recreation Administration,47000,62500
Radio Broadcasting,46300,62400
Sculpture,40300,62200
Painting,40700,62000
Psychology & Social Sciences,42600,62000
Health & Physical Education Teaching,38700,61900
Organizational Administration,45000,61800
Tourism Management,43100,61600
Instrumental Music Teacher Education,41700,61600
Emergency Medical Services (EMS),44200,61400
Community Health,45400,61300
Health & Human Performance,38100,61100
Music Therapy,43100,60700
Social Services,39900,60500
Rehabilitation Services,35800,60200
Horticulture,43000,60100
University Studies,42400,60000
Church Ministries,40000,59900
Communicative Disorders,47400,59800
Social Science Teacher Education,45400,59800
Wildlife Biology,42900,59800
Community Development,44600,59400
Psychology & Human Services,35600,59400
Athletic Training,42100,59300
Biblical Studies,40500,59000
Biblical Studies & Practical Ministries,36400,58900
Counseling Psychology,42700,58900
Recreational Studies,42100,58900
Teaching,42000,58900
Home Economics,41800,58700
Library & Information Science,48200,58700
Human Development & Family Studies,40300,58600
Tourism & Travel,42200,58600
Landscape Design,49000,58500
Ceramics,42200,58300
Clinical Social Work (CSW),43500,58300
Parks & Recreation Management,42700,58300
Pastoral Ministry,38700,58000
Vocal Performance,42600,58000
Art Teacher Education,40300,57500
Bible Studies & Theology,40000,57500
Forensic Accounting,48300,57200
Communication Sciences & Disorders,43300,57100
Legal Assistant Studies,38100,57100
Special Education,41300,57000
Conservation Biology,42800,56900
Family Studies,39200,56800
Christian Ministry,38100,56400
Speech & Hearing,43300,56400
Health and Human Services,43500,56300
Musical Theatre,43500,56100
History Teacher Education,47700,55600
Developmental Psychology,38200,55000
Therapeutic Recreation,39500,54900
Applied Behavioral Science,40500,54600
Community & Human Services,42400,54600
Social Work (SW),38600,54600
Office Administration,38700,54500
Ministry,36700,54300
Family & Community Services,42200,54300
Youth Ministry,37400,54200
Elementary Education,40000,53800
Voice & Opera,34500,53300
Christian Education,38700,53200
Conflict Resolution,44400,53200
Baking & Pastry Arts,37500,53000
Human Services Management,45600,53000
Hospitality & The Culinary Arts,38800,52900
Human Services (HS),38700,52500
Counseling,39900,51700
Recreational Therapy,38400,51600
Child Development,37400,51400
Educational Psychology,36900,51200
Middle School Education,41200,50800
Mental Health Counseling,36100,50000
Early Childhood & Elementary Education,38000,48400
Equine Studies,35700,47100
Addiction Studies,38000,47000
Child & Family Studies,36400,46500
Rehabilitation Counseling,39200,46400
Outdoor Education,37400,46300
Early Childhood Education,36100,45400
Mental Health,36900,45000
Medical Assisting,36000,44800
Metalsmithing,40000,40300
